"input","output"
"Good Where", "Where is a good place for a picnic?"
"Good Who", "Who made this good decision?"
"Good Why", "Why is it good to stay focused?"
"Good Yes", "Yes, that’s a good idea."
"Goodbye Happy", "It was a sad goodbye, but we were happy to meet."
"Goodbye Hello", "They said hello and goodbye at the same time."
"Goodbye Help", "I need help saying goodbye to my friends."
"Goodbye How", "How do you say goodbye in different languages?"
"Goodbye Love", "She kissed him goodbye, showing love."
"Goodbye Name", "His name was the last thing she said before goodbye."
"Goodbye Nice to meet you", "It was nice to meet you, but goodbye now."
"Goodbye No", "No goodbyes were needed."
"Goodbye Please", "Please don’t say goodbye just yet."
"Goodbye Sad", "The goodbye was filled with sadness."
"Goodbye Sorry", "Sorry, but I have to say goodbye."
"Goodbye Stop", "Stop, don’t say goodbye so soon."
"Goodbye Thank you", "Thank you for everything before we said goodbye."
"Goodbye Want", "She didn’t want to say goodbye."
"Goodbye Washroom", "She ran to the washroom before saying goodbye."
"Goodbye Water", "They shared a glass of water before saying goodbye."
"Goodbye What", "What’s the best way to say goodbye?"
"Goodbye When", "When do we say goodbye?"
"Goodbye Where", "Where is the goodbye party?"
"Goodbye Who", "Who will be there to say goodbye?"
"Goodbye Why", "Why is saying goodbye so hard?"
"Goodbye Yes", "Yes, I’ll say goodbye, but I’ll miss you."
"Happy Hello", "They greeted each other with a happy hello."
"Happy Help", "He was happy to help his friend."
"Happy How", "How are you so happy?"
"Happy Love", "They shared a happy moment full of love."
"Happy Name", "He smiled when he heard his name mentioned happily."
"Happy Nice to meet you", "It was so nice to meet you, I’m happy."
"Happy No", "He was happy, but the answer was still no."
"Happy Please", "Please be happy for me."
"Happy Sad", "He was happy but felt a little sad inside."
"Happy Sorry", "Sorry, I didn’t mean to make you unhappy."
"Happy Stop", "Stop being sad, it’s time to be happy!"
"Happy Thank you", "Thank you for making me so happy."
"Happy Want", "He wanted to spread happiness everywhere."
"Happy Washroom", "He went to the washroom, but his happiness remained."
"Happy Water", "A glass of water made him feel even happier."
"Happy What", "What made you so happy today?"
"Happy When", "When will you be happy again?"
"Happy Where", "Where does happiness live?"
"Happy Who", "Who makes you the happiest?"
"Happy Why", "Why are you so happy all of a sudden?"
"Happy Yes", "Yes, I am so happy to be here."
"Hello Help", "Hello, can I help you?"
"Hello How", "How’s it going, hello?"
"Hello Love", "Hello, with a warm hug full of love."
"Hello Name", "What’s your name? Hello!"
"Hello Nice to meet you", "Hello, nice to meet you!"
"Hello No", "Hello, no problem!"
"Hello Please", "Hello, please come in."
"Hello Sad", "He gave a sad hello when he saw her."
"Hello Sorry", "Sorry, I’m just saying hello."
"Hello Stop", "Stop by and say hello."
"Hello Thank you", "Thank you for your hello."
"Hello Want", "He wanted to say hello to everyone."
"Hello Washroom", "She went to the washroom after a quick hello."
"Hello Water", "He offered her water and a hello."
"Hello What", "What should we say, hello?"
"Hello When", "When do we say hello again?"
"Hello Where", "Where are you? I wanted to say hello!"
"Hello Who", "Who are you saying hello to?"
"Hello Why", "Why are you so formal with your hello?"
"Hello Yes", "Yes, hello! It’s great to see you!"
"Help How", "How can I help you?"
"Help Love", "He offered help with a kind love."
"Help Name", "He introduced himself when he offered help."
"Help Nice to meet you", "Nice to meet you, how can I help?"
"Help No", "No, I can’t help right now."
"Help Please", "Please let me help you."
"Help Sad", "He offered help, though he felt sad."
"Help Sorry", "Sorry, I can’t help with that."
"Help Stop", "Stop! Let me help you with that."
"Help Thank you", "Thank you for offering help."
"Help Want", "I want to help you with everything."
"Help Washroom", "He pointed to the washroom and asked if she needed help."
"Help Water", "He got some water to help her feel better."
"Help What", "What kind of help do you need?"
"Help When", "When do you need my help?"
"Help Where", "Where do you need my help?"
"Help Who", "Who can help me with this task?"
"Help Why", "Why do you need my help?"
"Help Yes", "Yes, I can help you with that."
"How Love", "How can love change everything?"
"How Name", "How did you learn his name?"
"How Nice to meet you", "How nice to meet you!"
"How No", "How do you say no politely?"
"How Please", "How please let me help you?"
"How Sad", "How do you deal with sadness?"
"How Sorry", "How do you say sorry in a nice way?"
"How Stop", "How can we stop this from happening?"
"How Thank you", "How do I thank you for everything?"
"How Want", "How do you want your coffee?"
"How Washroom", "How can I find the washroom?"
"How Water", "How much water should I drink?"
"How What", "How can I help you with that?"
"How When", "How soon can we leave?"
"How Where", "How do we get to the park?"
"How Who", "How do you know him?"
"How Why", "How do you know the answer to that?"
"How Yes", "How do you know the answer is yes?"
"Love Name", "I love your name!"
"Love Nice to meet you", "It’s nice to meet you, with love."
"Love No", "I love you, but I have to say no."
"Love Please", "Please know that I love you."
"Love Sad", "Love made him feel better even though he was sad."
"Love Sorry", "I’m sorry, but I still love you."
"Love Stop", "Stop being sad, love will fix it."
"Love Thank you", "Thank you for the love you’ve given me."
"Love Want", "I want to give you all my love."
"Love Washroom", "She went to the washroom, but love stayed with her."
"Love Water", "Love is like water, always flowing and needed."
"Love What", "What does love mean to you?"
"Love When", "When will love return?"
"Love Where", "Where does true love exist?"
"Love Who", "Who can love me this much?"
"Love Why", "Why is love so powerful?"
"Love Yes", "Yes, I love you!"
"Name Nice to meet you", "It’s nice to meet you, what’s your name?"
"Name No", "No, that’s not my name."
"Name Please", "Please tell me your name."
"Name Sad", "He couldn’t remember her name, and it made him sad."
"Name Sorry", "Sorry, I didn’t catch your name."
"Name Stop", "Stop calling me by the wrong name."
"Name Thank you", "Thank you for telling me your name."
"Name Want", "I want to know your name."
"Name Washroom", "She told him her name before heading to the washroom."
"Name Water", "He offered her water, asking for her name."
"Name What", "What’s your name?"
"Name When", "When did you change your name?"
"Name Where", "Where do you live, and what’s your name?"
"Name Who", "Who’s name is that?"
"Name Why", "Why did you change your name?"
"Name Yes", "Yes, my name is John."
"Nice to meet you No", "Nice to meet you, but I can’t stay long."
"Nice to meet you Please", "Please let me know when we can meet again."
"Nice to meet you Sad", "Nice to meet you, though I felt a little sad."
"Nice to meet you Sorry", "Sorry, I didn’t mean to be so formal when we first met."
"Nice to meet you Stop", "Stop by anytime, it’s nice to meet you."
"Nice to meet you Thank you", "Thank you for the kind words, it was nice to meet you."
"Nice to meet you Want", "I want to meet you again soon."
"Nice to meet you Washroom", "It’s nice to meet you, I’ll be right back from the washroom."
"Nice to meet you Water", "It’s nice to meet you over a glass of water."
"Nice to meet you What", "What do you think of this meeting?"
"Nice to meet you When", "When can we meet again? Nice to meet you."
"Nice to meet you Where", "Where are we meeting again? Nice to meet you!"
"Nice to meet you Who", "Who do you want me to introduce you to? Nice to meet you."
"Nice to meet you Why", "Why did you choose to meet here? Nice to meet you."
"Nice to meet you Yes", "Yes, it’s nice to meet you, let’s chat."
"No Please", "Please don’t say no to me."
"No Sad", "He said no sadly."
"No Sorry", "Sorry, but the answer is no."
"No Stop", "Stop asking, the answer is no."
"No Thank you", "No, thank you for asking."
"No Want", "I don’t want to go, no."
"No Washroom", "No, the washroom is that way."
"No Water", "No, I don’t want water right now."
"No What", "What do you mean by no?"
"No When", "When can we say no?"
"No Where", "Where can we go if I say no?"
"No Who", "Who said no to this plan?"
"No Why", "Why did you say no?"
"No Yes", "Yes, but no in the other case."
"Please Sad", "Please don’t be sad."
"Please Sorry", "Sorry, please forgive me."
"Please Stop", "Please stop talking."
"Please Thank you", "Please accept my thanks."
"Please Want", "Please let me help you, I want to."
"Please Washroom", "Please go ahead, the washroom is there."
"Please Water", "Please, I could use some water."
"Please What", "What can I do, please tell me?"
"Please When", "Please let me know when you’re available."
"Please Where", "Where can I please find the answers?"
"Please Who", "Who can please help with this?"
"Please Why", "Why should I please help?"
"Please Yes", "Yes, please."
"Sad Sorry", "I’m sorry you’re feeling sad."
"Sad Stop", "Stop being sad, things will get better."
"Sad Thank you", "Thank you for being there, even when I’m sad."
"Sad Want", "I want to feel better and stop being sad."
"Sad Washroom", "He felt sad, and the washroom was his escape."
"Sad Water", "Sometimes, a glass of water can help with the sadness."
"Sad What", "What’s making you so sad?"
"Sad When", "When will this sadness end?"
"Sad Where", "Where did all the happiness go? It’s so sad."
"Sad Who", "Who can make me feel better when I’m sad?"
"Sad Why", "Why do you seem so sad today?"
"Sad Yes", "Yes, I’m sad, but I’ll be okay."
"Sorry Stop", "Sorry, I didn’t mean to stop you."
"Sorry Thank you", "Thank you for your understanding, and I’m sorry."
"Sorry Want", "I’m sorry, I want to make it right."
"Sorry Washroom", "I’m sorry, I’ll be back from the washroom soon."
"Sorry Water", "Sorry, I didn’t bring any water for you."
"Sorry What", "Sorry, what were you saying?"
"Sorry When", "Sorry for the confusion, when is the meeting?"
"Sorry Where", "Sorry, where should I go next?"
"Sorry Who", "Who am I supposed to apologize to?"
"Sorry Why", "Sorry, but I don’t understand why this happened."
"Sorry Yes", "Yes, I’m sorry about that."
"Stop Thank you", "Stop by and thank you for your help."
"Stop Want", "I want to stop here, it’s enough."
"Stop Washroom", "Stop asking for the washroom, it’s over there."
"Stop Water", "Stop, we’re not thirsty anymore."
"Stop What", "Stop, what did you mean by that?"
"Stop When", "Stop asking when I will finish."
"Stop Where", "Stop here, we’re at the right place."
"Stop Who", "Stop, who’s responsible for this?"
"Stop Why", "Stop questioning, we’ve got to go now."
"Stop Yes", "Yes, stop right there!"
"Thank you Want", "I thank you, and I want to show my appreciation."
"Thank you Washroom", "Thank you for waiting, I’ll be back from the washroom."
"Thank you Water", "Thank you for the water, it was just what I needed."
"Thank you What", "Thank you, but what’s next?"
"Thank you When", "Thank you, when can we meet again?"
"Thank you Where", "Thank you for showing me where this is."
"Thank you Who", "Who can I thank for this favor?"
"Thank you Why", "Thank you for explaining why this happened."
"Thank you Yes", "Yes, thank you so much."
"Want Washroom", "I want to go to the washroom."
"Want Water", "I want some water, please."
"Want What", "What do you want from me?"
"Want When", "When do you want me to arrive?"
"Want Where", "Where do you want to go next?"
"Want Who", "Who do you want me to talk to?"
"Want Why", "Why do you want to leave now?"
"Want Yes", "Yes, I want to help."
"Washroom Water", "I went to the washroom and got some water."
"Washroom What", "What’s in the washroom?"
"Washroom When", "When do you need to go to the washroom?"
"Washroom Where", "Where is the nearest washroom?"
"Washroom Who", "Who’s going to the washroom next?"
"Washroom Why", "Why did you go to the washroom?"
"Washroom Yes", "Yes, the washroom is down the hall."
"Water What", "What kind of water do you need?"
"Water When", "When can I get some water?"
"Water Where", "Where can I find water?"
"Water Who", "Who left the water bottle here?"
"Water Why", "Why do you need water?"
"Water Yes", "Yes, I’ll bring you some water."
"What When", "When did this happen? What’s going on?"
"What Where", "Where is this happening, and what are you talking about?"
"What Who", "Who are we talking about, and what happened?"
"What Why", "Why are we discussing this, what’s the issue?"
"What Yes", "Yes, I understand what you’re saying."
"When Where", "Where and when did this take place?"
"When Who", "Who will be here when this happens?"
"When Why", "Why is this important, and when will we know?"
"When Yes", "Yes, I’ll be there when it’s time."
"Where Who", "Who did you meet where, and when?"
"Where Why", "Why are we going there, and where is it?"
"Where Yes", "Yes, I know where we’re going."
"Who Why", "Why did you ask who?"
"Who Yes", "Yes, I know who did it."
"Why Yes", "Yes, I see why now."
